Feature,Score
membership_revenue,152.89130665809628
estimated_ltv,134.971158054449
retention_x_ticket,134.59469842582527
avg_ticket_price,115.7498416085053
total_revenue,110.96080263801615
revenue_per_member,74.14188195416241
prev_month_revenue,50.5590088157818
revenue_momentum,47.03348245878218
class_pack_revenue_pct,41.97981628470916
3m_avg_revenue,38.02507461868013
retention_rate,11.80111317705881
churn_rate,11.755152408473782
mom_member_growth,10.692692460023391
staff_count,9.97254679568732
churned_members,9.56809555501255
staff_util_x_members,7.926929124120605
total_members,7.540620726870383
retail_revenue,6.01041844255188
membership_revenue_pct,4.379592636623336
month_cos,4.282212299246672
is_summer,4.217884094923288
upsell_rate,3.280451459118108
is_january,2.954930140411623
mom_revenue_growth,2.8222661559418833
3m_avg_retention,1.514415622637895
new_members,1.1365879602135172
3m_avg_attendance,0.7681173645084924
staff_utilization_rate,0.4118829158209633
month_index,0.3356415627984705
total_classes_held,0.28584414500776706
staff_per_member,0.2624056918793898
month_sin,0.16139809978359257
3m_std_revenue,0.12874784094089137
total_class_attendance,0.08227052134033383
class_pack_revenue,0.07332953936408318
is_fall,0.07260328412962329
attendance_x_classes,0.06324946171240946
class_attendance_rate,0.03893674799782882
class_utilization,0.03108098016552142
upsell_x_members,0.007457766690754952
prev_month_members,0.0002555344915660422
